TIME_StartTime,IMU_AccX,IMU_AccY,IMU_AccZ,IMU_GyroX,IMU_GyroY,IMU_GyroZ,IMU_MagX,IMU_MagY,IMU_MagZ,IMU_tA,IMU_tG,IMU_tM,SENS_BaroPres,SENS_BaroAlt,SENS_BaroTemp,SENS_DiffPres,SENS_DiffPresFilt,ATT_qw,ATT_qx,ATT_qy,ATT_qz,ATT_Roll,ATT_Pitch,ATT_Yaw,ATT_RollRate,ATT_PitchRate,ATT_YawRate,ATT_GX,ATT_GY,ATT_GZ,ATTC_Roll,ATTC_Pitch,ATTC_Yaw,ATTC_Thrust,OUT0_Out0,OUT0_Out1,OUT0_Out2,OUT0_Out3,OUT0_Out4,OUT0_Out5,OUT0_Out6,OUT0_Out7,LPOS_X,LPOS_Y,LPOS_Z,LPOS_Dist,LPOS_DistR,LPOS_VX,LPOS_VY,LPOS_VZ,LPOS_RLat,LPOS_RLon,LPOS_RAlt,LPOS_PFlg,LPOS_GFlg,LPOS_EPH,LPOS_EPV
627636381,-0.609557807446,-8.33310985565,-5.28439569473,0.0677868649364,0.0731552317739,-0.0902879908681,0.0907290354371,0.396350264549,0.446509152651,47.3351783752,47.3351783752,50.125,986.25994873,227.130905151,49.3299980164,0.0,0.0,0.747549474239,0.407991230488,0.228360056877,0.471767634153,0.972393333912,-0.0435470044613,1.10290920734,0.0752611011267,0.0839632973075,-0.0826051458716,-0.609557807446,-8.33310985565,-5.28439569473,0.0,0.0,0.0,0.0500000007451,1075.0,1075.0,1075.0,1075.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-6.18926334381,0.0,0.0,0.0,0.0,0.00669998582453,0.0,0.0,0.0,10,0,20.0,4.10697984695
627647396,-0.363616317511,-8.20837497711,-5.05521774292,0.047743730247,0.0563643053174,-0.112783752382,0.124467901886,0.373888522387,0.40616953373,47.3268699646,47.3268699646,50.125,986.309997559,226.705505371,49.3400001526,0.0,0.0,0.747858822346,0.407930225134,0.228827059269,0.47110337019,0.972832024097,-0.0421063937247,1.10201430321,0.0306350775063,-0.0198398325592,-0.132852092385,-0.363616317511,-8.20837497711,-5.05521774292,0.0,0.0,0.0,0.0500000007451,1075.0,1075.0,1075.0,1075.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-6.18761873245,0.0,0.0,0.0,0.0,0.00592077104375,0.0,0.0,0.0,10,0,20.0,4.10703992844
627658406,-0.607155561447,-8.81478309631,-5.10922002792,0.00330699444748,0.0248484648764,-0.149476200342,0.105111844838,0.37540897727,0.417621195316,47.3351783752,47.3351783752,50.125,986.289978027,226.875671387,49.3400001526,0.0,0.0,0.748429775238,0.407583832741,0.229240372777,0.470294833183,0.972658753395,-0.0402393639088,1.10076987743,-0.0720555186272,0.00946215167642,-0.227537736297,-0.607155561447,-8.81478309631,-5.10922002792,0.0,0.0,0.0,0.0500000007451,1075.0,1075.0,1075.0,1075.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-6.18668603897,0.0,0.0,0.0,0.0,0.00208724872209,0.0,0.0,0.0,10,0,20.0,4.10710096359
627669561,-0.774401545525,-8.16365432739,-5.52779388428,-0.0234583783895,0.0346817262471,-0.182651266456,0.0778369680047,0.357126712799,0.423691481352,47.3739624023,47.3739624023,50.125,986.289978027,226.875671387,49.3400001526,0.0,0.0,0.748907089233,0.407199651003,0.229726061225,0.469630300999,0.97249007225,-0.0383890606463,1.09990489483,0.000681254081428,0.0596219561994,-0.159486934543,-0.774401545525,-8.16365432739,-5.52779388428,0.0,0.0,0.0,0.0500000007451,1075.0,1075.0,1075.0,1075.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-6.18614912033,0.0,0.0,0.0,0.0,-0.0010512919398,0.0,0.0,0.0,10,0,20.0,4.10715961456
627680579,-0.822836816311,-8.09321880341,-5.34032821655,-0.0348337478936,0.0432395674288,-0.198911219835,0.109740145504,0.400554060936,0.433338850737,47.3517990112,47.3517990112,50.125,986.289978027,226.875671387,49.3400001526,0.0,0.0,0.749373555183,0.406862854958,0.230085581541,0.469001740217,0.972266972065,-0.03680697456,1.09898126125,0.0102966474369,0.0732830166817,-0.209352433681,-0.822836816311,-8.09321880341,-5.34032821655,0.0,0.0,0.0,0.0500000007451,1075.0,1075.0,1075.0,1075.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-6.18614912033,0.0,0.0,0.0,0.0,-0.0010512919398,0.0,0.0,0.0,10,0,20.0,4.10715961456
627692716,-0.448419094086,-8.12816143036,-5.26142168045,-0.0181233808398,0.0401476956904,-0.223145142198,0.107598394156,0.368220120668,0.407016128302,47.3462600708,47.3462600708,50.125,986.309997559,226.705505371,49.3400001526,0.0,0.0,0.750166714191,0.406371861696,0.230528414249,0.467940896749,0.971851050854,-0.0344533510506,1.09724855423,-0.0465856492519,-0.0193852279335,-0.219639271498,-0.448419094086,-8.12816143036,-5.26142168045,0.0,0.0,0.0,0.0500000007451,1075.0,1075.0,1075.0,1075.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-6.18532371521,0.0,0.0,0.0,0.0,-0.00460247788578,0.0,0.0,0.0,10,0,20.0,4.10721969604
627704688,-0.608166396618,-8.94505977631,-5.92362070084,-0.0169097613543,0.0343967862427,-0.253877818584,0.0797425881028,0.39558917284,0.444764107466,47.3601112366,47.3601112366,50.125,986.289978027,226.875671387,49.3400001526,0.0,0.0,0.751007080078,0.405770659447,0.231255114079,0.466754287481,0.971548676491,-0.0314471051097,1.09555923939,-0.0691723525524,0.0539938807487,-0.328787535429,-0.608166396618,-8.94505977631,-5.92362070084,0.0,0.0,0.0,0.0500000007451,1075.0,1075.0,1075.0,1075.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-6.18532371521,0.0,0.0,0.0,0.0,-0.00460247788578,0.0,0.0,0.0,10,0,20.0,4.10721969604
627704688,-0.608166396618,-8.94505977631,-5.92362070084,-0.0169097613543,0.0343967862427,-0.253877818584,0.0797425881028,0.39558917284,0.444764107466,47.3601112366,47.3601112366,50.125,986.289978027,226.875671387,49.3400001526,0.0,0.0,0.751007080078,0.405770659447,0.231255114079,0.466754287481,0.971548676491,-0.0314471051097,1.09555923939,-0.0691723525524,0.0539938807487,-0.328787535429,-0.608166396618,-8.94505977631,-5.92362070084,0.0,0.0,0.0,0.0500000007451,1075.0,1075.0,1075.0,1075.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-6.18471622467,0.0,0.0,0.0,0.0,-0.00837527122349,0.0,0.0,0.0,10,0,20.0,4.10728025436
627716750,-0.745908796787,-7.52448797226,-5.24370861053,0.00538996560499,0.0866239890456,-0.271850258112,0.118586964905,0.377066224813,0.40890738368,47.349029541,47.349029541,50.125,986.289978027,226.875671387,49.3400001526,0.0,0.0,0.751598775387,0.405304998159,0.232220709324,0.465726047754,0.971779167652,-0.028452437371,1.09445464611,0.0726002603769,0.0820735394955,-0.257286220789,-0.745908796787,-7.52448797226,-5.24370861053,0.0,0.0,0.0,0.0500000007451,1075.0,1075.0,1075.0,1075.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-6.18483257294,0.0,0.0,0.0,0.0,-0.011143819429,0.0,0.0,0.0,10,0,20.0,4.10734033585
627728844,-0.37076357007,-7.89918375015,-5.16599225998,0.0295895095915,0.140813961625,-0.274547696114,0.102034881711,0.372232913971,0.41509321332,47.3545684814,47.3545684814,50.125,986.309997559,226.705505371,49.3400001526,0.0,0.0,0.752451598644,0.404448837042,0.233817979693,0.464291900396,0.971987724304,-0.0236934255809,1.09319150448,0.0481704175472,0.118276596069,-0.304677188396,-0.37076357007,-7.89918375015,-5.16599225998,0.0,0.0,0.0,0.0500000007451,1075.0,1075.0,1075.0,1075.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-6.18340778351,0.0,0.0,0.0,0.0,-0.0128565579653,0.0,0.0,0.0,10,0,20.0,4.10746002197
