TIME_StartTime,IMU_AccX,IMU_AccY,IMU_AccZ,IMU_GyroX,IMU_GyroY,IMU_GyroZ,IMU_MagX,IMU_MagY,IMU_MagZ,IMU_tA,IMU_tG,IMU_tM,SENS_BaroPres,SENS_BaroAlt,SENS_BaroTemp,SENS_DiffPres,SENS_DiffPresFilt,ATT_qw,ATT_qx,ATT_qy,ATT_qz,ATT_Roll,ATT_Pitch,ATT_Yaw,ATT_RollRate,ATT_PitchRate,ATT_YawRate,ATT_GX,ATT_GY,ATT_GZ,ATTC_Roll,ATTC_Pitch,ATTC_Yaw,ATTC_Thrust,OUT0_Out0,OUT0_Out1,OUT0_Out2,OUT0_Out3,OUT0_Out4,OUT0_Out5,OUT0_Out6,OUT0_Out7,LPOS_X,LPOS_Y,LPOS_Z,LPOS_Dist,LPOS_DistR,LPOS_VX,LPOS_VY,LPOS_VZ,LPOS_RLat,LPOS_RLon,LPOS_RAlt,LPOS_PFlg,LPOS_GFlg,LPOS_EPH,LPOS_EPV
992633861,0.675185501575,5.97973823547,8.54585170746,-0.02605480887,0.0869136378169,-0.0234164167196,-0.0397344864905,-0.461217850447,-0.307578206062,47.6398887634,47.6398887634,50.125,985.709960938,231.811416626,49.4899978638,0.0,0.0,-0.198968842626,0.57855951786,-0.755326747894,0.234865605831,-2.51637482643,0.0288094952703,-1.82498991489,-0.0527063161135,0.0139445979148,-0.0412546545267,0.675185501575,5.97973823547,8.54585170746,0.0,0.0,0.0,0.0500000007451,1075.0,1075.0,1075.0,1075.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-4.10324811935,0.0,0.0,0.0,0.0,0.00672204839066,0.0,0.0,0.0,10,0,20.0,5.93154191971
992645770,0.110957287252,5.8541097641,8.01288509369,-0.02520387806,0.073583856225,-0.00816598813981,-0.0584036149085,-0.465664982796,-0.309452712536,47.6620483398,47.6620483398,50.125,985.729980469,231.641189575,49.4899978638,0.0,0.0,-0.198523446918,0.57857221365,-0.755400300026,0.23497480154,-2.51677417755,0.0280332248658,-1.82531988621,-0.0286905691028,0.112101577222,-0.00719569995999,0.110957287252,5.8541097641,8.01288509369,0.0,0.0,0.0,0.0500000007451,1075.0,1075.0,1075.0,1075.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-4.1035399437,0.0,0.0,0.0,0.0,0.00391970435157,0.0,0.0,0.0,10,0,20.0,5.93160152435
992657768,0.514302670956,5.79816627502,8.0778465271,-0.0107324738055,0.0687907412648,0.00362612237222,-0.0564518198371,-0.433698296547,-0.274156332016,47.6786689758,47.6786689758,50.125,985.709960938,231.811416626,49.4899978638,0.0,0.0,-0.198298692703,0.578600883484,-0.755438506603,0.234971120954,-2.51707220078,0.0276994816959,-1.82543325424,-0.0176322050393,0.0252411700785,-0.00280656479299,0.514302670956,5.79816627502,8.0778465271,0.0,0.0,0.0,0.0500000007451,1075.0,1075.0,1075.0,1075.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-4.1034860611,0.0,0.0,0.0,0.0,0.0035252883099,0.0,0.0,0.0,10,0,20.0,5.93166255951
992668780,0.598556280136,5.84013414383,8.21197891235,-0.00937284063548,0.0475505627692,0.00160322152078,-0.038334723562,-0.459116846323,-0.310364603996,47.6537399292,47.6537399292,50.125,985.709960938,231.811416626,49.4899978638,0.0,0.0,-0.198105439544,0.578731656075,-0.755405068398,0.234919652343,-2.51740550995,0.0273922551423,-1.82527661324,-0.0296630430967,-0.0187341216952,-0.0151490587741,0.598556280136,5.84013414383,8.21197891235,0.0,0.0,0.0,0.0500000007451,1075.0,1075.0,1075.0,1075.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-4.10443735123,0.0,0.0,0.0,0.0,0.0039553460665,0.0,0.0,0.0,10,0,20.0,5.93172168732
992680082,0.00515120010823,5.91485929489,7.82730913162,-0.00562776206061,0.0211501885206,0.00465805875137,-0.0482513383031,-0.466635107994,-0.310059159994,47.6648178101,47.6648178101,50.125,985.729980469,231.641189575,49.4899978638,0.0,0.0,-0.198010653257,0.578772723675,-0.755397737026,0.234921500087,-2.51752448082,0.0272246561944,-1.8252543211,-0.00610062945634,0.049868889153,0.00430571660399,0.00515120010823,5.91485929489,7.82730913162,0.0,0.0,0.0,0.0500000007451,1075.0,1075.0,1075.0,1075.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-4.10540437698,0.0,0.0,0.0,0.0,0.00406998489052,0.0,0.0,0.0,10,0,20.0,5.93178129196
992690961,0.399960488081,5.96550178528,8.02121353149,0.00320230145007,-0.00333973951638,0.00538946036249,-0.07143881917,-0.454021275043,-0.292468428612,47.6315803528,47.6315803528,50.125,985.739990234,231.556060791,49.4899978638,0.0,0.0,-0.198149859905,0.578889250755,-0.75532579422,0.2347484231,-2.51762676239,0.027552196756,-1.82486402988,-0.0227974914014,-0.0537476465106,-0.019495472312,0.399960488081,5.96550178528,8.02121353149,0.0,0.0,0.0,0.0500000007451,1075.0,1075.0,1075.0,1075.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-4.10540437698,0.0,0.0,0.0,0.0,0.00406998489052,0.0,0.0,0.0,10,0,20.0,5.93178129196
992690961,0.399960488081,5.96550178528,8.02121353149,0.00320230145007,-0.00333973951638,0.00538946036249,-0.07143881917,-0.454021275043,-0.292468428612,47.6315803528,47.6315803528,50.125,985.739990234,231.556060791,49.4899978638,0.0,0.0,-0.198149859905,0.578889250755,-0.75532579422,0.2347484231,-2.51762676239,0.027552196756,-1.82486402988,-0.0227974914014,-0.0537476465106,-0.019495472312,0.399960488081,5.96550178528,8.02121353149,0.0,0.0,0.0,0.0500000007451,1075.0,1075.0,1075.0,1075.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-4.10515213013,0.0,0.0,0.0,0.0,0.00496833957732,0.0,0.0,0.0,10,0,20.0,5.93184232712
992702101,0.22844453156,6.13236570358,8.02665042877,0.00287626520731,0.000621478247922,-0.00707050925121,-0.0146105438471,-0.437563985586,-0.301968872547,47.6398887634,47.6398887634,50.125,985.690002441,231.981658936,49.4899978638,0.0,0.0,-0.198159471154,0.57901096344,-0.755233764648,0.234736651182,-2.51763033867,0.0274867061526,-1.82456469536,0.00244067795575,-0.029895439744,-0.0181662645191,0.22844453156,6.13236570358,8.02665042877,0.0,0.0,0.0,0.0500000007451,1075.0,1075.0,1075.0,1075.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-4.10544252396,0.0,0.0,0.0,0.0,0.00507047167048,0.0,0.0,0.0,10,0,20.0,5.9319024086
992714208,0.0463766120374,5.89605045319,8.02250099182,0.0145355220884,0.00675083184615,-0.0168787054718,-0.0301769971848,-0.462236940861,-0.321619540453,47.6537399292,47.6537399292,50.125,985.690002441,231.981658936,49.4899978638,0.0,0.0,-0.198202595115,0.579283356667,-0.755015671253,0.234729379416,-2.51757788658,0.0273458901793,-1.82387602329,0.0144001301378,0.047746937722,-0.0151859056205,0.0463766120374,5.89605045319,8.02250099182,0.0,0.0,0.0,0.0500000007451,1075.0,1075.0,1075.0,1075.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-4.10743379593,0.0,0.0,0.0,0.0,0.00347423600033,0.0,0.0,0.0,10,0,20.0,5.93196296692
992726777,0.353283703327,5.67270851135,8.37861633301,0.0209426824003,0.0239680390805,-0.00926512293518,-0.0742274969816,-0.459843575954,-0.30270627141,47.6537399292,47.6537399292,50.125,985.75,231.470947266,49.4899978638,0.0,0.0,-0.198215469718,0.579445660114,-0.754893422127,0.234711229801,-2.51758646965,0.0272616725415,-1.82347631454,-0.0225971005857,-0.015396987088,-0.0324341729283,0.353283703327,5.67270851135,8.37861633301,0.0,0.0,0.0,0.0500000007451,1075.0,1075.0,1075.0,1075.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-4.10838985443,0.0,0.0,0.0,0.0,0.00254880194552,0.0,0.0,0.0,10,0,20.0,5.93202257156
