TIME_StartTime,IMU_AccX,IMU_AccY,IMU_AccZ,IMU_GyroX,IMU_GyroY,IMU_GyroZ,IMU_MagX,IMU_MagY,IMU_MagZ,IMU_tA,IMU_tG,IMU_tM,SENS_BaroPres,SENS_BaroAlt,SENS_BaroTemp,SENS_DiffPres,SENS_DiffPresFilt,ATT_qw,ATT_qx,ATT_qy,ATT_qz,ATT_Roll,ATT_Pitch,ATT_Yaw,ATT_RollRate,ATT_PitchRate,ATT_YawRate,ATT_GX,ATT_GY,ATT_GZ,ATTC_Roll,ATTC_Pitch,ATTC_Yaw,ATTC_Thrust,OUT0_Out0,OUT0_Out1,OUT0_Out2,OUT0_Out3,OUT0_Out4,OUT0_Out5,OUT0_Out6,OUT0_Out7,LPOS_X,LPOS_Y,LPOS_Z,LPOS_Dist,LPOS_DistR,LPOS_VX,LPOS_VY,LPOS_VZ,LPOS_RLat,LPOS_RLon,LPOS_RAlt,LPOS_PFlg,LPOS_GFlg,LPOS_EPH,LPOS_EPV
774126713,0.291927874088,3.73432898521,9.47027206421,0.0332988612354,-0.0195824205875,0.0308173522353,0.00168446917087,-0.335545092821,-0.425239592791,47.0664825439,47.0664825439,49.375,985.690002441,231.981658936,48.8299980164,0.0,0.0,0.121444344521,-0.660347342491,0.727702796459,-0.140147477388,-2.76863121986,-0.00834135059267,-1.66934454441,0.0256617926061,-0.018871486187,0.0230244398117,0.291927874088,3.73432898521,9.47027206421,0.0,0.0,0.0,0.0500000007451,1075.0,1075.0,1075.0,1075.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-4.20387887955,0.0,0.0,0.0,0.0,0.0284023247659,0.0,0.0,0.0,10,0,20.0,4.83923578262
774138680,0.410566061735,3.85282993317,9.46946907043,0.080933175981,-0.00109699019231,0.0310718398541,-0.0160060040653,-0.351688474417,-0.4203145504,47.0692520142,47.0692520142,49.25,985.690002441,231.981658936,48.8299980164,0.0,0.0,0.121864907444,-0.660195291042,0.727721750736,-0.140400633216,-2.76767396927,-0.00801627524197,-1.66954243183,0.118593946099,-0.0320416092873,0.0405281484127,0.410566061735,3.85282993317,9.46946907043,0.0,0.0,0.0,0.0500000007451,1075.0,1075.0,1075.0,1075.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-4.20497465134,0.0,0.0,0.0,0.0,0.0263060536236,0.0,0.0,0.0,10,0,20.0,4.83929538727
774150130,0.00196721008979,3.54816102982,9.32351207733,0.101674348116,0.00898174196482,0.0344510190189,-0.0303860064596,-0.36262357235,-0.418830603361,47.1024932861,47.1024932861,49.5,985.699951172,231.89654541,48.8299980164,0.0,0.0,0.122176580131,-0.659982264042,0.72779917717,-0.140729233623,-2.76675081253,-0.00791764631867,-1.66995453835,0.0696175545454,0.021840987727,0.018618196249,0.00196721008979,3.54816102982,9.32351207733,0.0,0.0,0.0,0.0500000007451,1075.0,1075.0,1075.0,1075.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-4.20575618744,0.0,0.0,0.0,0.0,0.025249119848,0.0,0.0,0.0,10,0,20.0,4.83935594559
774162306,0.0749797299504,3.55384612083,9.47181034088,0.0948618575931,-0.00930844061077,0.0281322859228,-0.0352238081396,-0.320918887854,-0.388286799192,47.0831031799,47.0831031799,49.5,985.699951172,231.89654541,48.8299980164,0.0,0.0,0.122662745416,-0.659792125225,0.727848351002,-0.140943542123,-2.7657623291,-0.00742719089612,-1.67021942139,0.0634121894836,-0.0304951667786,0.0163972899318,0.0749797299504,3.55384612083,9.47181034088,0.0,0.0,0.0,0.0500000007451,1075.0,1075.0,1075.0,1075.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-4.20638370514,0.0,0.0,0.0,0.0,0.0231613572687,0.0,0.0,0.0,10,0,20.0,4.83941650391
774174202,0.179777666926,3.65015411377,9.44104576111,0.0689014419913,-0.0220971368253,0.019872635603,1.34225729198e-05,-0.356375515461,-0.430129230022,47.0775604248,47.0775604248,49.625,985.66998291,232.151901245,48.8299980164,0.0,0.0,0.123008839786,-0.659752905369,0.72781008482,-0.141023010015,-2.76517009735,-0.00702658900991,-1.67015206814,0.0520668849349,-0.0425167232752,0.0167391523719,0.179777666926,3.65015411377,9.44104576111,0.0,0.0,0.0,0.0500000007451,1075.0,1075.0,1075.0,1075.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-4.20801496506,0.0,0.0,0.0,0.0,0.0217844191939,0.0,0.0,0.0,10,0,20.0,4.83947610855
774186119,-0.0344758704305,3.75911855698,9.26074409485,0.0399596691132,-0.00705944374204,0.018935430795,-0.0410332195461,-0.365439295769,-0.408212244511,47.0803337097,47.0803337097,49.625,985.66998291,232.151901245,48.8299980164,0.0,0.0,0.123133487999,-0.65964704752,0.727877855301,-0.141059845686,-2.7649435997,-0.00684719998389,-1.67037117481,0.0151266865432,0.00511075742543,0.0196794122458,-0.0344758704305,3.75911855698,9.26074409485,0.0,0.0,0.0,0.0500000007451,1075.0,1075.0,1075.0,1075.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-4.21020317078,0.0,0.0,0.0,0.0,0.0206926763058,0.0,0.0,0.0,10,0,20.0,4.83953619003
774198666,0.130055695772,3.47796964645,9.29065704346,0.0399032570422,0.000658876728266,0.030708225444,-0.0272553246468,-0.323083519936,-0.396038323641,47.0637130737,47.0637130737,49.5,985.709960938,231.811416626,48.8199996948,0.0,0.0,0.123353734612,-0.659467041492,0.727997720242,-0.141090273857,-2.76459574699,-0.00648634089157,-1.67073893547,0.0300687365234,-0.0138125363737,0.0164884664118,0.130055695772,3.47796964645,9.29065704346,0.0,0.0,0.0,0.0500000007451,1075.0,1075.0,1075.0,1075.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-4.21020317078,0.0,0.0,0.0,0.0,0.0206926763058,0.0,0.0,0.0,10,0,20.0,4.83953619003
774198666,0.130055695772,3.47796964645,9.29065704346,0.0399032570422,0.000658876728266,0.030708225444,-0.0272553246468,-0.323083519936,-0.396038323641,47.0637130737,47.0637130737,49.5,985.709960938,231.811416626,48.8199996948,0.0,0.0,0.123353734612,-0.659467041492,0.727997720242,-0.141090273857,-2.76459574699,-0.00648634089157,-1.67073893547,0.0300687365234,-0.0138125363737,0.0164884664118,0.130055695772,3.47796964645,9.29065704346,0.0,0.0,0.0,0.0500000007451,1075.0,1075.0,1075.0,1075.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-4.21033525467,0.0,0.0,0.0,0.0,0.0204343814403,0.0,0.0,0.0,10,0,20.0,4.83959722519
774210407,0.204304009676,3.28839588165,9.41108226776,0.0348939299583,0.0123592754826,0.0294327009469,-0.0131953498349,-0.357270777225,-0.430638730526,47.0858726501,47.0858726501,49.5,985.66998291,232.151901245,48.8199996948,0.0,0.0,0.123396411538,-0.659326970577,0.728105485439,-0.141151636839,-2.76444363594,-0.00643900269642,-1.67108917236,0.00888136774302,0.0162895433605,0.0245894249529,0.204304009676,3.28839588165,9.41108226776,0.0,0.0,0.0,0.0500000007451,1075.0,1075.0,1075.0,1075.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-4.21112537384,0.0,0.0,0.0,0.0,0.0213160775602,0.0,0.0,0.0,10,0,20.0,4.83965682983
774221104,-0.0466434322298,3.13515806198,9.17454147339,0.0180747583508,0.0207379423082,0.0284969843924,-0.0137996124104,-0.359861195087,-0.417129784822,47.0609397888,47.0609397888,49.5,985.66998291,232.151901245,48.8199996948,0.0,0.0,0.123303771019,-0.659272968769,0.7281717062,-0.141142934561,-2.76458263397,-0.00653085997328,-1.67127811909,-0.0276770032942,0.0249774549156,0.00877737998962,-0.0466434322298,3.13515806198,9.17454147339,0.0,0.0,0.0,0.0500000007451,1075.0,1075.0,1075.0,1075.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-4.21112537384,0.0,0.0,0.0,0.0,0.0213160775602,0.0,0.0,0.0,10,0,20.0,4.83965682983
